,symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk,file_name
362,BTC,1,Bitcoin,"$70,846,063,125 ",$4291.75,"16,507,500","$2,814,510,000",-2.16%,5.57%,24.99%,r_20170815-071005
1417,BTC,1,Bitcoin,"$76,715,293,809 ",$4639.63,"16,534,787","$1,731,360,000",0.56%,2.73%,10.53%,r_20170831-114005
2498,BTC,1,Bitcoin,"$71,411,773,702 ",$4316.74,"16,542,987","$2,080,400,000",-2.51%,-6.91%,0.54%,r_20170904-085005
3568,BTC,1,Bitcoin,"$67,158,717,638 ",$4066.51,"16,515,075","$2,796,620,000",-0.71%,-5.92%,9.26%,r_20170819-065505
4615,BTC,1,Bitcoin,"$67,243,714,005 ",$4071.86,"16,514,250","$2,611,450,000",-1.38%,-5.83%,13.93%,r_20170818-210005
5652,BTC,1,Bitcoin,"$53,584,162,128 ",$3249.12,"16,491,900","$1,278,650,000",0.88%,1.90%,19.88%,r_20170806-153005
6693,BTC,1,Bitcoin,"$75,485,465,841 ",$4566.17,"16,531,462","$2,403,230,000",0.18%,4.91%,13.22%,r_20170829-192505
7750,BTC,1,Bitcoin,"$55,327,996,185 ",$3354.33,"16,494,500","$1,452,220,000",0.56%,3.49%,17.62%,r_20170807-224005
8792,BTC,1,Bitcoin,"$77,660,805,952 ",$4695.56,"16,539,200","$3,043,140,000",1.12%,-1.71%,8.68%,r_20170902-110505
9852,BTC,1,Bitcoin,"$47,776,502,911 ",$2897.53,"16,488,700","$982,694,000",0.49%,4.08%,4.07%,r_20170805-003006
10876,BTC,1,Bitcoin,"$60,431,706,188 ",$3662.07,"16,502,062","$1,983,640,000",0.93%,7.10%,21.35%,r_20170812-033505
11927,BTC,1,Bitcoin,"$75,805,535,323 ",$4585.24,"16,532,512","$2,618,410,000",-0.57%,4.93%,10.27%,r_20170830-074505
13007,BTC,1,Bitcoin,"$75,653,809,356 ",$4573.40,"16,542,137","$1,943,490,000",-0.13%,0.97%,5.09%,r_20170903-231506
14075,BTC,1,Bitcoin,"$71,389,821,232 ",$4323.23,"16,513,075","$2,701,270,000",0.11%,0.35%,25.76%,r_20170818-045505
15128,BTC,1,Bitcoin,"$71,551,210,458 ",$4330.06,"16,524,300","$2,061,350,000",0.12%,3.73%,0.28%,r_20170825-071005
