,symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk,file_name
350,BTC,1,Bitcoin,"$53,584,162,128 ",$3249.12,"16,491,900","$1,278,650,000",0.88%,1.90%,19.88%,r_20170806-153005
1374,BTC,1,Bitcoin,"$55,327,996,185 ",$3354.33,"16,494,500","$1,452,220,000",0.56%,3.49%,17.62%,r_20170807-224005
2396,BTC,1,Bitcoin,"$47,776,502,911 ",$2897.53,"16,488,700","$982,694,000",0.49%,4.08%,4.07%,r_20170805-003006
3414,BTC,1,Bitcoin,"$53,117,532,424 ",$3220.64,"16,492,850","$1,046,720,000",0.57%,-0.33%,17.43%,r_20170807-031505
4438,BTC,1,Bitcoin,"$53,549,791,896 ",$3246.78,"16,493,200","$1,037,770,000",0.11%,1.78%,17.92%,r_20170807-072005
5461,BTC,1,Bitcoin,"$54,974,882,124 ",$3332.96,"16,494,312","$1,421,670,000",0.17%,2.14%,17.54%,r_20170807-200505
6484,BTC,1,Bitcoin,"$55,690,394,570 ",$3375.93,"16,496,312","$1,689,850,000",-0.51%,1.08%,23.99%,r_20170808-190505
7507,BTC,1,Bitcoin,"$52,310,475,518 ",$3172.24,"16,490,075","$1,644,730,000",0.35%,10.89%,16.30%,r_20170805-142505
8527,BTC,1,Bitcoin,"$55,574,095,571 ",$3368.88,"16,496,312","$1,694,030,000",-0.71%,0.91%,23.71%,r_20170808-185505
9551,BTC,1,Bitcoin,"$53,702,805,689 ",$3256.63,"16,490,300","$1,755,650,000",2.23%,13.35%,19.71%,r_20170805-171006
10569,BTC,1,Bitcoin,"$51,609,539,971 ",$3129.94,"16,488,987","$1,221,430,000",6.88%,13.34%,12.65%,r_20170805-033005
11586,BTC,1,Bitcoin,"$53,692,632,236 ",$3255.68,"16,491,987","$1,271,300,000",0.37%,1.12%,19.84%,r_20170806-163505
12610,BTC,1,Bitcoin,"$55,888,019,585 ",$3387.82,"16,496,750","$1,749,660,000",-0.43%,-0.29%,24.74%,r_20170809-024005
13642,BTC,1,Bitcoin,"$56,776,691,804 ",$3442.00,"16,495,262","$1,660,360,000",0.66%,6.28%,21.15%,r_20170808-070506
14661,BTC,1,Bitcoin,"$53,265,947,038 ",$3230.05,"16,490,750","$1,905,010,000",-0.39%,12.90%,18.68%,r_20170805-220506
15687,BTC,1,Bitcoin,"$56,876,202,909 ",$3447.97,"16,495,562","$1,710,550,000",-0.77%,5.78%,22.76%,r_20170808-094506
16705,BTC,1,Bitcoin,"$47,522,999,538 ",$2882.16,"16,488,675","$999,775,000",0.56%,3.51%,3.45%,r_20170804-235005
17722,BTC,1,Bitcoin,"$53,393,084,679 ",$3237.74,"16,490,850","$1,924,270,000",-0.08%,12.47%,18.98%,r_20170805-233005
18743,BTC,1,Bitcoin,"$53,108,299,125 ",$3220.40,"16,491,212","$1,658,630,000",0.59%,3.80%,19.47%,r_20170806-043005
19768,BTC,1,Bitcoin,"$56,085,374,069 ",$3400.18,"16,494,825","$1,478,200,000",0.87%,5.94%,18.30%,r_20170808-023005
20789,BTC,1,Bitcoin,"$55,896,718,313 ",$3388.45,"16,496,250","$1,707,730,000",0.25%,1.43%,24.35%,r_20170808-182005
21811,BTC,1,Bitcoin,"$56,275,085,027 ",$3411.34,"16,496,475","$1,753,880,000",-0.82%,1.78%,25.35%,r_20170808-215505
22836,BTC,1,Bitcoin,"$53,735,782,045 ",$3258.20,"16,492,475","$1,125,350,000",-0.04%,0.70%,18.98%,r_20170806-221005
23861,BTC,1,Bitcoin,"$56,749,481,686 ",$3440.34,"16,495,312","$1,665,820,000",0.24%,6.13%,21.38%,r_20170808-075005
24884,BTC,1,Bitcoin,"$56,136,826,232 ",$3402.91,"16,496,712","$1,733,190,000",-0.35%,0.78%,25.11%,r_20170809-014506
25912,BTC,1,Bitcoin,"$53,014,425,552 ",$3214.71,"16,491,200","$1,696,150,000",-0.11%,4.44%,19.19%,r_20170806-040505
26935,BTC,1,Bitcoin,"$56,186,975,975 ",$3406.11,"16,495,937","$1,653,860,000",-1.31%,1.05%,23.78%,r_20170808-134505
27956,BTC,1,Bitcoin,"$51,299,092,790 ",$3111.11,"16,489,000","$1,349,670,000",4.76%,12.59%,12.09%,r_20170805-040505
28978,BTC,1,Bitcoin,"$56,413,118,089 ",$3419.99,"16,495,112","$1,644,880,000",-0.17%,5.63%,20.17%,r_20170808-064005
29999,BTC,1,Bitcoin,"$56,243,436,185 ",$3409.45,"16,496,337","$1,745,270,000",0.60%,2.04%,25.34%,r_20170808-193505
31023,BTC,1,Bitcoin,"$53,323,087,941 ",$3233.02,"16,493,275","$1,039,710,000",-0.27%,1.43%,17.19%,r_20170807-081005
32046,BTC,1,Bitcoin,"$53,833,074,025 ",$3264.50,"16,490,450","$1,841,580,000",-0.47%,14.02%,19.94%,r_20170805-190505
33068,BTC,1,Bitcoin,"$55,960,565,224 ",$3392.85,"16,493,675","$1,280,170,000",1.30%,5.91%,21.73%,r_20170807-130505
34082,BTC,1,Bitcoin,"$46,228,287,361 ",$2803.93,"16,486,962","$874,390,000",0.12%,2.48%,2.47%,r_20170804-070005
35102,BTC,1,Bitcoin,"$52,947,169,081 ",$3210.51,"16,491,825","$1,272,800,000",0.17%,1.11%,18.88%,r_20170806-135506
36123,BTC,1,Bitcoin,"$52,565,235,062 ",$3187.38,"16,491,675","$1,289,700,000",-0.06%,0.67%,18.54%,r_20170806-120006
37147,BTC,1,Bitcoin,"$55,643,800,157 ",$3373.43,"16,494,725","$1,443,940,000",0.54%,5.20%,17.35%,r_20170808-014505
38172,BTC,1,Bitcoin,"$56,429,816,526 ",$3421.01,"16,495,075","$1,636,550,000",-0.70%,5.71%,20.10%,r_20170808-062005
39194,BTC,1,Bitcoin,"$55,525,179,370 ",$3366.43,"16,493,787","$1,327,900,000",-0.53%,4.46%,20.45%,r_20170807-142005
40219,BTC,1,Bitcoin,"$54,970,058,781 ",$3332.67,"16,494,300","$1,411,790,000",0.16%,2.11%,17.57%,r_20170807-195506
41241,BTC,1,Bitcoin,"$52,003,927,317 ",$3153.71,"16,489,762","$1,657,370,000",-0.60%,10.19%,15.40%,r_20170805-113506
42263,BTC,1,Bitcoin,"$56,977,223,894 ",$3454.06,"16,495,725","$1,701,800,000",0.59%,3.73%,24.38%,r_20170808-115505
43282,BTC,1,Bitcoin,"$53,590,105,666 ",$3249.68,"16,490,887","$1,943,490,000",0.15%,12.78%,19.44%,r_20170805-235006
44303,BTC,1,Bitcoin,"$52,196,600,312 ",$3165.08,"16,491,400","$1,441,410,000",-1.28%,0.44%,17.93%,r_20170806-081506
45327,BTC,1,Bitcoin,"$57,306,738,489 ",$3474.12,"16,495,325","$1,688,510,000",0.85%,7.03%,22.88%,r_20170808-082005
46351,BTC,1,Bitcoin,"$56,679,451,915 ",$3435.98,"16,495,862","$1,648,260,000",-0.66%,2.02%,24.62%,r_20170808-132006
47370,BTC,1,Bitcoin,"$56,394,310,099 ",$3418.57,"16,496,462","$1,740,510,000",-0.45%,2.17%,25.68%,r_20170808-212505
48394,BTC,1,Bitcoin,"$53,073,635,719 ",$3218.02,"16,492,637","$1,105,590,000",-0.82%,-1.27%,17.53%,r_20170807-000005
49415,BTC,1,Bitcoin,"$52,629,171,206 ",$3191.54,"16,490,212","$1,674,380,000",-0.16%,11.02%,17.25%,r_20170805-162005
50433,BTC,1,Bitcoin,"$46,955,972,795 ",$2847.81,"16,488,450","$1,002,040,000",-0.07%,2.70%,1.93%,r_20170804-214005
51455,BTC,1,Bitcoin,"$55,435,387,798 ",$3360.93,"16,494,062","$1,334,960,000",-0.11%,3.06%,19.14%,r_20170807-170505
52480,BTC,1,Bitcoin,"$56,830,411,941 ",$3445.16,"16,495,725","$1,705,050,000",0.21%,3.61%,24.00%,r_20170808-115005
53500,BTC,1,Bitcoin,"$52,740,540,090 ",$3198.09,"16,491,262","$1,531,510,000",-0.76%,2.25%,18.80%,r_20170806-053505
54520,BTC,1,Bitcoin,"$52,674,575,042 ",$3194.09,"16,491,262","$1,537,240,000",-0.84%,2.15%,18.64%,r_20170806-053005
55545,BTC,1,Bitcoin,"$55,995,633,371 ",$3394.31,"16,496,912","$1,736,310,000",0.03%,-1.09%,25.20%,r_20170809-043505
56572,BTC,1,Bitcoin,"$53,018,632,890 ",$3214.97,"16,491,175","$1,730,000,000",-0.63%,5.03%,19.16%,r_20170806-035005
57593,BTC,1,Bitcoin,"$53,113,526,748 ",$3220.90,"16,490,275","$1,703,790,000",1.40%,12.00%,18.38%,r_20170805-165005
58612,BTC,1,Bitcoin,"$56,445,766,819 ",$3421.71,"16,496,362","$1,739,450,000",0.80%,2.44%,25.83%,r_20170808-200505
59636,BTC,1,Bitcoin,"$52,245,634,820 ",$3168.32,"16,490,012","$1,643,710,000",0.32%,10.79%,16.13%,r_20170805-141506
60659,BTC,1,Bitcoin,"$57,381,755,975 ",$3478.66,"16,495,362","$1,697,150,000",1.02%,7.09%,23.24%,r_20170808-084005
61680,BTC,1,Bitcoin,"$52,721,866,600 ",$3196.96,"16,491,250","$1,546,350,000",-0.68%,2.26%,18.72%,r_20170806-052005
62700,BTC,1,Bitcoin,"$52,003,927,317 ",$3153.71,"16,489,762","$1,657,370,000",-0.60%,10.19%,15.40%,r_20170805-113005
63722,BTC,1,Bitcoin,"$55,324,068,441 ",$3353.51,"16,497,362","$1,628,880,000",-0.87%,-2.89%,23.71%,r_20170809-101506
64754,BTC,1,Bitcoin,"$52,283,514,530 ",$3170.73,"16,489,425","$1,634,050,000",1.51%,12.01%,15.85%,r_20170805-085505
65772,BTC,1,Bitcoin,"$51,652,064,408 ",$3132.45,"16,489,350","$1,599,830,000",0.11%,11.67%,14.13%,r_20170805-073005
66793,BTC,1,Bitcoin,"$54,237,633,186 ",$3287.63,"16,497,487","$1,679,410,000",-0.27%,-4.58%,21.34%,r_20170809-115506
67825,BTC,1,Bitcoin,"$55,520,142,060 ",$3365.52,"16,496,750","$1,737,500,000",-1.09%,-0.76%,23.86%,r_20170809-022505
68852,BTC,1,Bitcoin,"$53,410,735,823 ",$3238.83,"16,490,750","$1,911,270,000",0.32%,13.13%,19.00%,r_20170805-221505
69875,BTC,1,Bitcoin,"$55,853,039,552 ",$3385.81,"16,496,212","$1,707,910,000",0.49%,1.22%,24.01%,r_20170808-174005
70897,BTC,1,Bitcoin,"$53,954,281,455 ",$3271.87,"16,490,350","$1,800,050,000",1.50%,13.97%,20.28%,r_20170805-175005
71914,BTC,1,Bitcoin,"$53,787,253,405 ",$3261.40,"16,492,075","$1,214,690,000",-0.33%,0.24%,19.65%,r_20170806-175505
