,symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk,file_name
0,XBY,185,XtraBYtes,"$7,819,695 ",$0.012030,"650,000,000",*,"$18,438",7.06%,5.37%,r_20170804-070005
1,CPN,642,CompuCoin,"$57,921 ",$0.002953,"19,615,019",Low Vol,0.18%,-7.21%,-27.36%,r_20170804-070005
2,CHEAP,977,Cheapcoin,? ,$0.000111,?,*,Low Vol,0.18%,105.12%,r_20170804-070005
3,BLAS,699,BlakeStar,"$27,016 ",$0.000111,"242,428,320",Low Vol,0.36%,-17.94%,?,r_20170804-070005
4,CPC,344,Capricoin,"$854,157 ",$0.429215,"1,990,045",*,"$15,219",-0.01%,2.74%,r_20170804-070005
5,EOS,14,EOS,"$472,119,420 ",$1.81,"261,402,702",*,"$33,675,800",0.28%,2.49%,r_20170804-070005
6,SIB,106,SIBCoin,"$20,384,061 ",$1.35,"15,144,514","$82,029",1.88%,6.14%,-2.47%,r_20170804-070005
7,JWL,670,Jewels,"$38,230 ",$0.001894,"20,181,636",*,Low Vol,0.13%,-3.14%,r_20170804-070005
8,XDE2,882,XDE II,? ,$0.835721,?,*,Low Vol,0.13%,-38.73%,r_20170804-070005
9,DLISK,741,DAPPSTER,"$16,604 ",$0.000166,"100,000,000",*,Low Vol,?,1.88%,r_20170804-070005
10,MONETA,958,Moneta,? ,$0.000195,?,Low Vol,0.25%,2.56%,2.53%,r_20170804-070005
11,ACES,903,Aces,? ,$0.000029,?,*,Low Vol,0.20%,-47.16%,r_20170804-070005
12,NYC,398,NewYorkCoin,"$292,852 ",$0.000005,"59,719,935,819","$4,198",-57.57%,43.49%,-49.89%,r_20170804-070005
13,GAIA,506,GAIA,"$377,326 ",$0.015656,"24,101,381",*,Low Vol,0.18%,43.74%,r_20170804-070005
14,XBC,174,Bitcoin Plus,"$8,841,788 ",$89.19,"99,131",*,"$198,352",-0.93%,2.94%,r_20170804-070005
15,XBB,252,Boolberry,"$3,127,864 ",$0.328127,"9,532,480","$3,536",7.34%,2.93%,3.39%,r_20170804-070005
16,MAVRO,969,Mavro,? ,$0.005154,?,Low Vol,0.19%,2.01%,-9.51%,r_20170804-070005
17,LTH,990,LAthaan,? ,$0.000251,?,Low Vol,0.36%,31.89%,?,r_20170804-070005
18,MONA,93,MonaCoin,"$25,821,683 ",$0.487325,"52,986,575","$75,358",0.58%,1.92%,-3.38%,r_20170804-070005
19,SPR,165,SpreadCoin,"$9,619,973 ",$1.13,"8,509,335","$49,031",-0.60%,10.02%,-0.30%,r_20170804-070005
20,BLITZ,232,Blitzcash,"$4,164,929 ",$1.02,"4,078,266",*,"$48,050",-3.69%,-0.97%,r_20170804-070005
21,TAG,271,TagCoin,"$2,422,004 ",$0.430158,"5,630,497","$159,560",3.00%,0.94%,6.72%,r_20170804-070005
22,XMR,10,Monero,"$650,584,672 ",$43.71,"14,883,707","$8,910,940",0.58%,0.49%,-1.65%,r_20170804-070005
23,TAJ,658,TajCoin,"$43,957 ",$0.006587,"6,672,893",Low Vol,-4.71%,2.90%,-17.67%,r_20170804-070005
24,SNAKE,917,SnakeEyes,? ,$0.035783,?,*,Low Vol,1.28%,-14.20%,r_20170804-070005
25,XPM,188,Primecoin,"$7,565,029 ",$0.376079,"20,115,533","$466,554",-0.83%,3.19%,0.45%,r_20170804-070005
26,AGLC,611,AgrolifeCoin,"$77,845 ",$0.013812,"5,636,063",*,Low Vol,-0.04%,1.88%,r_20170804-070005
27,BTCS,595,Bitcoin Scrypt,"$91,580 ",$0.005643,"16,228,463",Low Vol,0.28%,31.63%,-4.75%,r_20170804-070005
28,IXC,472,Ixcoin,"$1,728,939 ",$0.082334,"20,999,088",*,Low Vol,0.25%,1.03%,r_20170804-070005
29,MTLMC3,711,Metal Music Coin,"$24,428 ",$0.000306,"79,719,140",Low Vol,0.25%,2.56%,-12.35%,r_20170804-070005
30,CCRB,291,CryptoCarbon,"$1,793,626 ",$0.503529,"3,562,111",*,"$42,534",-0.01%,20.98%,r_20170804-070005
31,NOBL,497,NobleCoin,"$452,172 ",$0.000197,"2,297,843,476",Low Vol,0.21%,13.63%,15.05%,r_20170804-070005
32,PRIMU,859,Primulon,? ,$0.000251,?,"$1,621",0.36%,22.19%,-28.37%,r_20170804-070005
33,XPY,587,PayCoin,"$98,718 ",$0.008416,"11,729,252",**,Low Vol,0.13%,-18.26%,r_20170804-070005
34,FEDS,835,FedoraShare,? ,$0.000023,?,*,"$9,812",-0.01%,-7.23%,r_20170804-070005
35,MIOTA,9,IOTA,"$1,029,296,198 ",$0.370313,"2,779,530,283",*,"$10,946,000",1.89%,25.57%,r_20170804-070005
36,FIMK,361,FIMKrypto,"$659,026 ",$0.001142,"577,004,618",*,$776,-6.95%,7.82%,r_20170804-070005
37,BYC,369,Bytecent,"$569,218 ",$0.332673,"1,711,042","$13,028",0.13%,9.46%,-6.72%,r_20170804-070005
38,IXT,250,InsureX,"$3,285,843 ",$0.091838,"35,778,844",*,"$13,774",-4.15%,-16.08%,r_20170804-070005
39,BTCD,59,BitcoinDark,"$56,053,776 ",$43.49,"1,288,862","$154,462",-0.01%,1.45%,-4.82%,r_20170804-070005
40,JNS,274,Janus,"$2,334,133 ",$0.110842,"21,058,198",*,"$1,835",14.62%,-37.23%,r_20170804-070005
41,UNITS,558,GameUnits,"$143,202 ",$0.041233,"3,472,983",*,Low Vol,0.19%,-10.26%,r_20170804-070005
42,MAR,606,Marijuanacoin,"$84,708 ",$0.080076,"1,057,837",Low Vol,-1.73%,-8.26%,-12.97%,r_20170804-070005
43,SNC,860,SunContract (...,? ,$0.026262,?,*,"$1,579",0.07%,7.15%,r_20170804-070005
44,SNGLS,52,SingularDTV,"$71,844,000 ",$0.119740,"600,000,000",*,"$405,055",0.62%,7.25%,r_20170804-070005
45,MAX,213,MaxCoin,"$5,331,239 ",$0.089195,"59,770,533","$465,646",-0.28%,9.09%,15.97%,r_20170804-070005
46,SNM,131,SONM,"$14,105,830 ",$0.042570,"331,360,000",*,"$203,291",-0.29%,12.00%,r_20170804-070005
47,SDP,783,SydPak,"$4,043 ",$0.025434,"158,943",*,Low Vol,0.25%,-22.29%,r_20170804-070005
48,AC,471,AsiaCoin,"$2,277,455 ",$0.002432,"936,334,167",Low Vol,0.22%,1.35%,-12.04%,r_20170804-070005
49,TP1,1016,KolschCoin,? ,$0.024731,?,Low Vol,?,?,-25.39%,r_20170804-070005
50,SNT,32,Status,"$197,335,526 ",$0.056861,"3,470,483,788",*,"$19,019,000",-0.71%,5.46%,r_20170804-070005
51,PAC,853,Paccoin,? ,$1.4e-07,?,"$2,026",-1.37%,-14.28%,-2.18%,r_20170804-070005
52,MAD,646,SatoshiMadness,"$55,791 ",$0.000028,"2,000,683,485",*,Low Vol,0.23%,2.66%,r_20170804-070005
53,LAZ,884,Lazaruscoin,? ,$0.000836,?,*,Low Vol,11.32%,39.85%,r_20170804-070005
54,AXF,816,AxFunds,? ,$0.083078,?,"$63,695",1.28%,11.49%,3.00%,r_20170804-070005
55,FFC,854,FireFlyCoin,? ,$0.000139,?,"$1,776",0.25%,-14.32%,8.45%,r_20170804-070005
56,GAIN,1025,UGAIN,? ,$0.000332,?,Low Vol,?,3.90%,-9.34%,r_20170804-070005
57,GUC,904,GoldUnionCoin,? ,$1.98,?,*,Low Vol,0.19%,-35.77%,r_20170804-070005
58,MGM,794,Magnum,"$1,119 ",$0.000298,"3,748,685",Low Vol,?,?,-84.95%,r_20170804-070005
59,CNNC,619,Cannation,"$69,897 ",$0.028220,"2,476,893",Low Vol,50.90%,-7.45%,-20.91%,r_20170804-070005
60,EVO,441,Evotion,"$66,763 ",$0.027038,"2,469,220","$2,038",-21.39%,-27.62%,-16.60%,r_20170804-070005
61,DTB,132,Databits,"$14,070,907 ",$0.618561,"22,747,809",*,"$57,102",-1.67%,9.54%,r_20170804-070005
62,CME,1008,Cashme,? ,$0.000027,?,**,Low Vol,?,0.67%,r_20170804-070005
63,TSE,534,Tattoocoin (S...,"$209,216 ",$0.002314,"90,421,856",*,Low Vol,-0.88%,13.88%,r_20170804-070005
64,GUN,586,Guncoin,"$99,138 ",$0.000529,"187,346,878",Low Vol,0.25%,19.15%,-7.98%,r_20170804-070005
65,GUP,159,Matchpool,"$10,205,025 ",$0.136067,"75,000,000",*,"$127,519",0.35%,12.77%,r_20170804-070005
66,PCN,913,PeepCoin,? ,$3.8e-07,?,*,Low Vol,0.44%,-60.68%,r_20170804-070005
67,TYCHO,841,Tychocoin,? ,$0.150151,?,"$6,705",17.09%,19.02%,11.29%,r_20170804-070005
68,KLC,628,KiloCoin,"$65,539 ",$0.000334,"196,297,971",Low Vol,?,2.43%,-17.37%,r_20170804-070005
69,CARBON,499,Carboncoin,"$428,780 ",$0.000028,"15,391,975,099",Low Vol,0.19%,-48.72%,-43.62%,r_20170804-070005
70,YBC,115,YbCoin,"$17,292,255 ",$5.73,"3,020,471",*,"$391,340",-0.19%,4.03%,r_20170804-070005
71,XBG,889,BTCGold,? ,$0.002340,?,Low Vol,0.19%,-69.64%,-92.53%,r_20170804-070005
72,BET,948,BetaCoin,? ,$0.001105,?,Low Vol,0.25%,-77.00%,?,r_20170804-070005
73,CMP,63,Compcoin,"$50,309,866 ",$13.91,"3,615,825","$19,333",0.28%,?,?,r_20170804-070005
